Time,PM2.5,Temp,Hour,WindSpeed,WindDirection,SolarRadiation,RelativeHumidity,isRain,isLightRain,isDrizzle
01-01-2017 00:00,278.75,19.23,0,0.23,126.5,7.22,88.6,0,0,0
01-01-2017 01:00,245.75,19.2,1,0.15,99.25,8.38,88.6,0,0,0
01-01-2017 02:00,220.75,19.05,2,0.25,321.75,7.3,88.6,0,0,0
01-01-2017 03:00,267,18.53,3,0.3,292.25,7.8,88.53,0,0,0
01-01-2017 04:00,319,18.48,4,0.3,344.25,8.35,88.45,0,0,0
01-01-2017 05:00,289.75,18.38,5,0.3,87.5,8.55,88.4,0,0,0
01-01-2017 06:00,284,18.4,6,0.3,281,8.82,88.4,0,0,0
01-01-2017 07:00,310.25,18.6,7,0.3,350.5,17.07,88.4,0,0,0
01-01-2017 08:00,209.5,18.45,8,0.3,89.75,64.45,88.57,0,0,0
01-01-2017 09:00,223.75,18.98,9,0.32,5.25,166.72,88.6,0,0,0
01-01-2017 10:00,309,20.63,10,0.6,15.5,287.2,87.47,0,0,0
01-01-2017 11:00,334.5,22.68,11,0.98,31.25,333.55,76.5,0,0,0
01-01-2017 12:00,277.5,24,12,0.93,23.5,336.9,67.78,0,0,0
01-01-2017 13:00,265.25,25.52,13,0.8,34.5,277.57,55.73,0,0,0
01-01-2017 14:00,242.75,26.27,14,0.55,58.75,241.57,47.65,0,0,0
01-01-2017 15:00,141.25,26.5,15,0.5,90,174.15,43.95,0,0,0
01-01-2017 16:00,68.75,25.88,16,0.3,111,72.67,47.62,0,0,0
01-01-2017 17:00,74.75,22.9,17,0.3,126.75,10.88,68.58,0,0,0
01-01-2017 18:00,98.25,20.5,18,0.22,124,5.13,85.38,0,0,0
01-01-2017 19:00,113.75,19.9,19,0.3,137.25,6.5,88.6,0,0,0
01-01-2017 20:00,189.25,19.45,20,0.3,137.5,7.97,88.6,0,0,0
01-01-2017 21:00,263.25,19.38,21,0.3,141,8.53,88.55,0,0,0
01-01-2017 22:00,262,19.5,22,0.2,213.75,8.22,88.45,0,0,0
01-01-2017 23:00,284.5,19.27,23,0.28,112.25,8.47,88.4,0,0,0
02-01-2017 00:00,307.5,19.23,0,0.3,120.75,8.07,88.4,0,0,0
02-01-2017 01:00,257,19.2,1,0.25,151,8.28,88.45,0,0,0
02-01-2017 02:00,218,18.93,2,0.25,120,8,88.55,0,0,0
02-01-2017 03:00,213.25,18.8,3,0.28,111.5,8.2,88.6,0,0,0
02-01-2017 04:00,220.75,18.65,4,0.28,33.75,8.77,88.6,0,0,0
02-01-2017 05:00,246.5,18.48,5,0.3,259,9.3,88.6,0,0,0
02-01-2017 06:00,267.5,18.55,6,0.3,346.75,8.75,88.55,0,0,0
02-01-2017 07:00,302.25,18.58,7,0.13,216.5,20.77,88.5,0,0,0
02-01-2017 08:00,249.25,19.03,8,0.3,15.75,122.73,88.4,0,0,0
02-01-2017 09:00,265.75,21.45,9,0.32,41.25,256.8,74.5,0,0,0
02-01-2017 10:00,194.5,24.85,10,0.35,32.5,343.7,54.78,0,0,0
02-01-2017 11:00,172.5,26.15,11,0.55,30.5,372.15,51.58,0,0,0
02-01-2017 12:00,152.5,26.82,12,0.55,23.75,385.82,48.57,0,0,0
02-01-2017 13:00,142.25,27.85,13,0.53,37.5,381.38,40.47,0,0,0
02-01-2017 14:00,64,28.25,14,0.55,14.5,299.75,34.9,0,0,0
02-01-2017 15:00,50.25,27.93,15,0.28,179.75,184.52,35.25,0,0,0
02-01-2017 16:00,63.75,27.05,16,0.18,296.25,71.05,39.27,0,0,0
02-01-2017 17:00,68.75,24.25,17,0.18,217.25,11,56.75,0,0,0
02-01-2017 18:00,111,22,18,0.2,78.25,4.78,72.9,0,0,0
02-01-2017 19:00,218.5,20.6,19,0.2,159,6.35,85.9,0,0,0
02-01-2017 20:00,319.75,20,20,0.3,81,6.9,88.47,0,0,0
02-01-2017 21:00,266.25,19.7,21,0.28,56.75,7.45,88.6,0,0,0
02-01-2017 22:00,277.75,19.57,22,0.3,65.75,8.05,88.6,0,0,0
02-01-2017 23:00,233.75,19.28,23,0.27,111.5,8.57,88.6,0,0,0
03-01-2017 00:00,198,19.23,0,0.28,149.5,8.43,88.57,0,0,0
03-01-2017 01:00,174.5,19.17,1,0.28,168.25,8.18,88.5,0,0,0
03-01-2017 02:00,244.5,18.95,2,0.28,280,8.45,88.4,0,0,0
03-01-2017 03:00,244,19,3,0.3,305.25,8.15,88.4,0,0,0
03-01-2017 04:00,310.5,18.98,4,0.25,258,8.25,88.4,0,0,0
03-01-2017 05:00,290.5,18.75,5,0.3,265.75,7.92,88.53,0,0,0
03-01-2017 06:00,303.5,18.72,6,0.33,228,9.57,88.6,0,0,0
03-01-2017 07:00,194.75,18.65,7,0.3,248.25,14.32,88.6,0,0,0
03-01-2017 08:00,180.25,18.7,8,0.4,236.25,41.33,88.6,0,0,0
03-01-2017 09:00,173,19.1,9,0.48,233.25,85.92,88.6,0,0,0
03-01-2017 10:00,238.5,19.68,10,0.33,189.25,217.55,88.5,0,0,0
03-01-2017 11:00,314.25,22.5,11,0.25,259.75,376.18,79.72,0,0,0
03-01-2017 12:00,401,26,12,0.18,252.75,429.35,56.38,0,0,0
03-01-2017 13:00,236,27.27,13,0.43,243.75,342.67,47.6,0,0,0
03-01-2017 14:00,209.5,27.32,14,0.48,243.5,314.95,43.55,0,0,0
03-01-2017 15:00,148.5,27.58,15,0.4,251,202.15,40.42,0,0,0
03-01-2017 16:00,133.25,25.88,16,0.25,277.5,62.8,48.5,0,0,0
03-01-2017 17:00,202.5,23.08,17,0.3,177.75,9.95,65.67,0,0,0
03-01-2017 18:00,187.25,20.7,18,0.3,132.5,5.17,85.82,0,0,0
03-01-2017 19:00,295.5,20.1,19,0.3,119.75,7.28,88.47,0,0,0
03-01-2017 20:00,469,19.85,20,0.3,115.5,7.28,88.4,0,0,0
03-01-2017 21:00,583.5,19.75,21,0.3,115.5,8.17,88.4,0,0,0
03-01-2017 22:00,641.75,19.6,22,0.3,120,7.93,88.45,0,0,0
03-01-2017 23:00,531.75,19.38,23,0.3,116.5,7.97,88.5,0,0,0
04-01-2017 00:00,584.75,19.23,0,0.3,83,8.45,88.6,0,0,0
04-01-2017 01:00,572.25,19,1,0.3,12.5,8.53,88.6,0,0,0
04-01-2017 02:00,544.5,18.77,2,0.3,11.5,8.75,88.6,0,0,0
04-01-2017 03:00,609.5,18.75,3,0.3,10.5,8.75,88.6,0,0,0
04-01-2017 04:00,695,18.5,4,0.3,11.75,8.52,88.5,0,0,0
04-01-2017 05:00,616,18.4,5,0.3,11.25,8.92,88.45,0,0,0
04-01-2017 06:00,519.25,18.5,6,0.3,10.75,8.98,88.4,0,0,0
04-01-2017 07:00,524.75,18.45,7,0.3,5.5,19.25,88.4,0,0,0
04-01-2017 08:00,464.5,18.73,8,0.3,5,102.45,88.43,0,0,0
04-01-2017 09:00,521.75,20.23,9,0.3,122.25,211.77,88.6,0,0,0
04-01-2017 10:00,772.25,22.95,10,0.38,189.5,307.05,72.42,0,0,0
04-01-2017 11:00,366.5,26.17,11,0.4,190,369.13,52.28,0,0,0
04-01-2017 12:00,230,27.63,12,0.4,195.5,368.77,41.8,0,0,0
04-01-2017 13:00,193.75,29.1,13,0.35,175.5,371.6,29.7,0,0,0
04-01-2017 14:00,112,29.67,14,0.23,136.75,292.08,23.52,0,0,0
04-01-2017 15:00,79.75,29.63,15,0.33,141.75,194.6,19.15,0,0,0
04-01-2017 16:00,68.25,28.4,16,0.3,126.25,71.58,24.83,0,0,0
04-01-2017 17:00,77.75,25.33,17,0.3,133.25,11.9,43.75,0,0,0
04-01-2017 18:00,100.5,23.5,18,0.33,140.25,6.28,54.42,0,0,0
04-01-2017 19:00,124.5,23.07,19,0.35,141.75,5.85,59.75,0,0,0
04-01-2017 20:00,120.25,20.73,20,0.3,117.25,5.63,80.9,0,0,0
04-01-2017 21:00,130.75,19.95,21,0.3,120,7.17,87.7,0,0,0
04-01-2017 22:00,158.5,19.57,22,0.3,106.25,7.35,88.53,0,0,0
04-01-2017 23:00,183.5,19.3,23,0.3,97.25,8.03,88.43,0,0,0
05-01-2017 00:00,216.25,19.27,0,0.3,61,8.03,88.4,0,0,0
05-01-2017 01:00,268.75,19.03,1,0.3,41.75,8.22,88.4,0,0,0
05-01-2017 02:00,276,18.85,2,0.3,32.75,8.2,88.5,0,0,0
05-01-2017 03:00,264.25,18.9,3,0.3,177.5,8.5,88.57,0,0,0
05-01-2017 04:00,235.75,18.58,4,0.3,345.5,8.6,88.6,0,0,0
05-01-2017 05:00,258.5,18.55,5,0.3,343.5,8.9,88.6,0,0,0
05-01-2017 06:00,259,18.67,6,0.3,220.5,9.05,88.6,0,0,0
05-01-2017 07:00,212.25,18.52,7,0.3,341.25,20.43,88.53,0,0,0
05-01-2017 08:00,192.5,19.1,8,0.3,348.5,102.67,88.47,0,0,0
05-01-2017 09:00,228.25,20.55,9,0.25,218.75,216.45,86.98,0,0,0
05-01-2017 10:00,289.5,24.35,10,0.28,217.25,312.15,60.18,0,0,0
05-01-2017 11:00,232.25,26.95,11,0.23,173.5,372.2,46.65,0,0,0
05-01-2017 12:00,175.25,28.05,12,0.43,240.25,405.07,39.23,0,0,0
05-01-2017 13:00,145.75,28.6,13,0.15,273.25,371.68,36.38,0,0,0
05-01-2017 14:00,141,28.92,14,0.25,147,284.88,32.63,0,0,0
05-01-2017 15:00,136.25,28.62,15,0.2,254.25,188.95,31.1,0,0,0
05-01-2017 16:00,130.25,27.48,16,0.25,280.75,74.42,33.9,0,0,0
05-01-2017 17:00,144.5,24.63,17,0.3,64.25,10.82,54.27,0,0,0
05-01-2017 18:00,162.5,21.7,18,0.3,123,4.33,75.25,0,0,0
05-01-2017 19:00,237.25,20.33,19,0.3,121,6.67,85.8,0,0,0
05-01-2017 20:00,279.25,20,20,0.28,92.75,7.38,88.35,0,0,0
05-01-2017 21:00,370,19.88,21,0.3,108,7.47,88.57,0,0,0
05-01-2017 22:00,464.75,19.63,22,0.3,108.25,8.32,88.6,0,0,0
05-01-2017 23:00,432.75,19.8,23,0.3,95.25,8.43,88.6,0,0,0
06-01-2017 00:00,390,19.6,0,0.25,136,8.53,88.6,0,0,0
06-01-2017 01:00,420.25,19.65,1,0.3,121.5,9.1,88.55,0,0,0
06-01-2017 02:00,349.75,19.88,2,0.28,110.25,8.88,88.47,0,0,0
06-01-2017 03:00,261,19.85,3,0.2,203.75,7.8,88.4,0,0,0
06-01-2017 04:00,201.25,19.7,4,0.25,96,8.35,88.4,0,0,0
06-01-2017 05:00,175.75,19.83,5,0.25,126,8.53,88.45,0,0,0
06-01-2017 06:00,156.5,19.8,6,0.33,120.5,8.3,88.55,0,0,0
06-01-2017 07:00,142.25,19.77,7,0.25,84.75,20.2,88.6,0,0,0
06-01-2017 08:00,158.5,20.33,8,0.6,115.5,106.3,87.48,0,0,0
06-01-2017 09:00,179.5,22.35,9,0.85,112.25,219.8,73.63,0,0,0
06-01-2017 10:00,177,24.83,10,0.93,114.25,314.85,57.6,0,0,0
06-01-2017 11:00,179,26.38,11,0.65,111.5,345.13,49,0,0,0
06-01-2017 12:00,179,26.9,12,0.6,76,363.38,46.85,0,0,0
06-01-2017 13:00,228.75,27.68,13,0.88,102.25,356.13,40.02,0,0,0
06-01-2017 14:00,158.75,27.72,14,1.05,116.5,264.32,36.58,0,0,0
06-01-2017 15:00,122.75,27.23,15,0.77,107.5,182.98,39.17,0,0,0
06-01-2017 16:00,110.25,26.2,16,0.6,111.75,76.5,44.13,0,0,0
